NOME,FASE_2020,FASE_2021,FASE_2022,PEDRA_2020,PEDRA_2021,PEDRA_2022,PONTO_VIRADA_2020,PONTO_VIRADA_2021,PONTO_VIRADA_2022,IAN_2020,IAN_2021,IAN_2022,IDA_2020,IDA_2021,IDA_2022,IEG_2020,IEG_2021,IEG_2022,IAA_2020,IAA_2021,IAA_2022,IPS_2020,IPS_2021,IPS_2022,IPP_2020,IPP_2021,IPP_2022,IPV_2020,IPV_2021,IPV_2022,INDE_2020,INDE_2021,INDE_2022,STATUS_ALUNO,ANO_INGRESSO,FASE_PARADA,dimensao_academica,dimensao_psicossocial,dimensao_psicopedagogica
ALUNO-33,3.0,,,Ágata,,,0.0,,,10.0,,,8.666666666666666,,,4.5,,,6.66667,,,7.5,,,7.083333333333334,,,6.277773333333332,,,7.013888333333334,,,Desistiu em 2021,2020.0,,7.722222222222221,7.083335,6.680553333333333
ALUNO-34,2.0,2.0,3.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,7.0,5.5,6.111111111111111,9.3,2.9,7.056167617548691,8.500020000000001,6.9,7.5,6.875,7.5,7.5,8.125,7.7,7.5,7.944443333333334,8.7,6.41666,7.698890666666667,6.129,6.666787745731961,Ativo,2018.0,3.0,5.8741420809622005,7.462503333333333,7.7310172222222215
ALUNO-35,7.0,7.0,,Ágata,Topázio,,0.0,1.0,,5.0,5.0,,5.0,8.2,,6.1,9.4,,8.75001,9.2,,6.25,7.5,,7.65625,8.4,,8.29167,9.4,,6.64396,8.416,,Desistiu em 2022,2017.0,,6.45,7.9250025,8.43698
ALUNO-36,3.0,3.0,4.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,8.0,4.7,5.877777777777777,9.9,6.4,8.074712643678161,9.58335,8.3,5.83333,7.5,3.8,6.25,8.749999999999998,7.3,7.96875,8.222226666666668,7.9,7.7916675,8.307780333333334,6.246,6.854039584291188,Ativo,2019.0,4.0,6.439165602383993,6.8777800000000004,7.988774027777779
ALUNO-37,2.0,2.0,2.0,Ágata,Ágata,Ametista,0.0,0.0,0.0,10.0,10.0,5.0,2.5,6.5,7.333333333333333,7.7,5.4,9.041585445094215,10.00002,0.0,8.500020000000001,4.375,6.9,7.5,6.458333333333333,7.5,6.25,7.77778,6.7,7.777779999999999,6.6788913333333335,6.154,7.55554175568551,Ativo,2018.0,2.0,7.052768753158617,6.212506666666666,7.077315555555555
ALUNO-39,3.0,,,Ametista,,,0.0,,,10.0,,,8.333333333333334,,,9.4,,,6.24999,,,7.5,,,8.541666666666666,,,6.777780000000001,,,8.131388333333334,,,Desistiu em 2021,2017.0,,9.244444444444445,6.874995,7.659723333333334
ALUNO-41,1.0,2.0,,Ametista,Ágata,,0.0,0.0,,5.0,5.0,,7.25,6.8,,8.3,5.0,,8.000020000000001,0.0,,7.5,7.5,,7.5,7.5,,7.75,8.8,,7.460002,6.1,,Desistiu em 2022,2020.0,,6.2250000000000005,5.750005,7.8875
ALUNO-43,4.0,,,Ametista,,,0.0,,,10.0,,,7.0,,,7.5,,,7.5,,,7.5,,,7.96875,,,8.04167,,,7.805209,,,Desistiu em 2021,2018.0,,8.166666666666666,7.5,8.00521
ALUNO-44,1.0,,,Ágata,,,0.0,,,10.0,,,0.0,,,6.8,,,9.000020000000001,,,7.5,,,6.25,,,7.916665,,,6.218335,,,Desistiu em 2021,2020.0,,5.6000000000000005,8.25001,7.0833325
ALUNO-45,1.0,,2.0,Ágata,,Ágata,0.0,,0.0,5.0,,5.0,10.0,,5.0,1.0,,9.166666666666666,8.500020000000001,,7.916679999999999,7.5,,6.25,7.8125,,6.25,7.75,,6.777773333333332,6.631252,,6.730556,Retornou em 2022,2019.0,2.0,5.861111111111111,7.541675,7.147568333333333
ALUNO-46,0.0,0.0,1.0,Ágata,Topázio,Ametista,0.0,0.0,0.0,10.0,10.0,10.0,0.0,6.9,5.0,10.0,10.0,9.082456140350876,9.50002,8.5,8.500020000000001,7.5,7.5,7.5,7.5,8.1,6.041666666666667,7.583335,8.4,6.888883333333333,6.966669,8.471,7.398436561403509,Ativo,2020.0,1.0,7.886939571150098,8.166673333333334,7.4189808333333325
ALUNO-51,0.0,1.0,1.0,Topázio,Ametista,Ágata,0.0,0.0,0.0,10.0,10.0,5.0,10.0,5.4,5.083333333333334,9.8,9.2,9.203448275862067,9.50002,9.0,9.000020000000001,7.5,7.5,7.5,8.125,7.7,5.625,7.416665,8.6,6.91666,8.955835,8.051,6.953190321839081,Ativo,2019.0,1.0,8.18742017879949,8.33334,7.397220833333333
ALUNO-52,2.0,,,Ametista,,,0.0,,,10.0,,,7.0,,,8.6,,,10.00002,,,6.25,,,7.916666666666668,,,8.22222,,,8.181112666666667,,,Desistiu em 2021,2018.0,,8.533333333333333,8.12501,8.069443333333334
ALUNO-53,5.0,,,Topázio,,,0.0,,,10.0,,,8.2,,,10.0,,,9.16668,,,7.5,,,0.0,,,0.0,,,8.696667999999999,,,Desistiu em 2021,2016.0,,9.4,8.33334,0.0
ALUNO-55,6.0,7.0,,Ágata,Ametista,,1.0,1.0,,5.0,5.0,,6.333333333333333,7.6,,9.0,8.9,,0.0,9.6,,7.5,8.1,,8.28125,8.1,,8.666667499999999,9.2,,6.878125166666666,8.219,,Desistiu em 2022,2017.0,,6.972222222222221,6.300000000000001,8.561979375
ALUNO-57,6.0,7.0,,Ametista,Ametista,,0.0,0.0,,10.0,10.0,,5.833333333333333,6.0,,7.1,6.9,,8.33334,8.3,,6.25,6.3,,7.5,7.7,,7.5833325,7.0,,7.311667166666667,7.213,,Desistiu em 2022,2018.0,,7.638888888888889,7.295835,7.445833125
ALUNO-59,3.0,,,Ágata,,,0.0,,,10.0,,,6.0,,,3.6,,,8.75001,,,7.5,,,7.291666666666667,,,6.444439999999998,,,6.563055666666668,,,Desistiu em 2021,2020.0,,6.533333333333334,8.125005,6.868053333333332
ALUNO-60,5.0,6.0,7.0,Ametista,Ametista,Quartzo,0.0,0.0,0.0,5.0,5.0,5.0,6.666666666666667,6.1,4.044444444444444,9.7,7.5,4.129901960784314,7.5,7.9,8.33334,6.875,6.9,5.625,8.4375,7.2,7.96875,8.124995,7.7,7.277773333333332,7.679582333333333,6.956,5.783132947712418,Ativo,2016.0,7.0,5.904557007988381,7.18889,7.7848363888888885
ALUNO-61,1.0,1.0,2.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,2.5,6.5,1.3,7.787878787878788,9.000020000000001,0.0,10.00002,7.5,5.6,7.5,6.875,6.9,6.25,7.333333333333333,5.1,7.38889,5.604168666666667,3.017,6.410355757575758,Ativo,2020.0,2.0,3.6764309764309764,6.600006666666666,6.641203888888889
ALUNO-62,2.0,2.0,,Ágata,Ágata,,0.0,0.0,,5.0,5.0,,3.5,3.1,,6.9,4.6,,7.916679999999999,8.5,,7.5,7.5,,7.083333333333333,8.1,,7.5,6.2,,6.330001333333334,5.704,,Desistiu em 2022,2020.0,,4.683333333333333,7.85417,7.220833333333332
ALUNO-68,1.0,,,Quartzo,,,0.0,,,5.0,,,0.0,,,7.6,,,9.000020000000001,,,7.5,,,7.1875,,,8.0,,,5.988752,,,Desistiu em 2021,2020.0,,4.2,8.25001,7.59375
ALUNO-71,0.0,,,Ametista,,,0.0,,,5.0,,,9.5,,,10.0,,,8.500020000000001,,,5.0,,,2.5,,,7.749995,,,7.550001,,,Desistiu em 2021,2019.0,,8.166666666666666,6.7500100000000005,5.1249975
ALUNO-75,3.0,4.0,5.0,Topázio,Topázio,Topázio,1.0,1.0,1.0,10.0,10.0,10.0,9.0,8.5,8.5,10.0,9.2,9.660714285714286,10.00002,10.0,10.00002,10.0,7.5,9.375,9.375,8.8,9.21875,9.75001,9.7,9.75001,9.687504,9.108,9.441521857142858,Ativo,2019.0,5.0,9.428968253968256,9.479173333333334,9.432295000000002
ALUNO-76,0.0,1.0,1.0,Topázio,Topázio,Topázio,0.0,1.0,0.0,10.0,10.0,10.0,10.0,7.6,7.166666666666666,10.0,10.0,9.419753086419751,8.91668,10.0,10.00002,10.0,7.5,7.5,7.5,7.5,5.833333333333334,6.58333,9.2,8.27778,8.958334,8.869,8.306175283950617,Ativo,2020.0,1.0,9.354046639231823,8.986116666666666,7.482407222222222
ALUNO-78,1.0,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,5.0,5.0,5.0,5.5,2.6,7.666666666666666,9.0,9.2,9.480259870064968,9.50002,8.9,6.91668,7.5,7.5,7.5,7.1875,7.3,6.666666666666666,7.666665,5.6,7.833336666666667,7.352085,6.339,7.604387307346327,Ativo,2017.0,1.0,6.494102948525738,7.969449999999999,7.042361388888889
ALUNO-80,2.0,,2.0,Ágata,,Ágata,0.0,,0.0,10.0,,5.0,0.0,,4.25,9.2,,9.296296296296296,6.91668,,6.83334,7.5,,5.625,7.291666666666667,,6.25,7.444443333333333,,7.5,6.499723333333334,,6.580093259259259,Retornou em 2022,2019.0,2.0,6.291049382716049,6.718755,7.1215275
ALUNO-81,4.0,5.0,6.0,Ametista,Ágata,Ametista,1.0,0.0,1.0,5.0,5.0,5.0,6.0,6.5,6.655555555555555,8.8,5.8,7.402950310559007,5.41667,6.3,8.33334,7.5,2.5,8.125,8.125,8.1,7.5,9.11112,7.7,8.833336666666666,7.386391000000001,6.188,7.474202506556246,Ativo,2019.0,6.0,6.239833985123841,6.362501666666667,8.228242777777778
ALUNO-82,0.0,,,Ametista,,,0.0,,,5.0,,,8.5,,,10.0,,,8.500020000000001,,,7.5,,,6.875,,,7.333335,,,7.954169,,,Desistiu em 2021,2020.0,,7.833333333333333,8.00001,7.1041675
ALUNO-83,4.0,5.0,5.0,Ametista,Ágata,Ametista,1.0,0.0,0.0,10.0,10.0,5.0,5.333333333333333,3.0,6.8,9.4,6.4,7.819047619047619,9.16668,6.7,7.91667,5.625,3.8,7.5,8.958333333333332,7.3,6.875,9.166676666666666,6.7,7.750005,8.155003333333333,5.987,7.202977523809524,Ativo,2016.0,5.0,7.083597883597884,6.784724999999999,7.791669166666666
ALUNO-84,0.0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,1.0,10.0,10.0,5.0,8.5,6.8,6.25,10.0,10.0,8.838383838383837,9.000020000000001,3.5,9.000020000000001,10.0,7.5,7.5,7.5,7.5,6.458333333333334,6.999995,8.3,8.444446666666666,8.750001000000001,7.867,7.502401434343434,Ativo,2020.0,1.0,8.37648709315376,7.750006666666667,7.533795833333333
ALUNO-85,0.0,0.0,1.0,Ágata,Ágata,Ametista,0.0,0.0,1.0,5.0,5.0,5.0,10.0,6.9,7.583333333333333,9.9,6.7,9.743589743589745,9.50002,9.5,9.50002,2.5,6.3,5.0,2.5,4.7,5.625,6.66666,7.0,8.833335,7.263334,6.652,7.744553615384616,Ativo,2019.0,1.0,7.314102564102563,7.050006666666666,5.887499166666667
ALUNO-86,6.0,,,Quartzo,,,0.0,,,5.0,,,3.6666666666666665,,,4.9,,,8.33334,,,7.5,,,7.5,,,5.7083325,,,5.688333833333334,,,Desistiu em 2021,2019.0,,4.522222222222222,7.91667,6.6041662500000005
ALUNO-87,4.0,5.0,5.0,Ametista,Ametista,Ágata,1.0,0.0,0.0,10.0,10.0,5.0,6.666666666666667,7.8,6.566666666666667,9.2,7.8,5.652169521654815,8.33334,7.9,9.16668,5.625,7.5,5.625,8.749999999999998,8.1,7.96875,8.722226666666666,7.7,7.1250025,8.188612666666666,8.004,6.644810737664296,Ativo,2016.0,5.0,7.631722539443127,7.358336666666666,8.060996527777778
ALUNO-88,2.0,2.0,3.0,Topázio,Ametista,Topázio,1.0,1.0,1.0,10.0,5.0,10.0,9.5,7.4,6.877777777777777,9.4,9.6,9.11793372319688,10.00002,9.5,9.58335,7.5,6.3,5.625,5.9375,8.1,8.90625,9.58334,9.1,9.0833375,9.04042,8.096,8.427269800194932,Ativo,2018.0,3.0,8.54396794455274,8.084728333333333,8.451737916666668
ALUNO-89,0.0,,,Ametista,,,0.0,,,5.0,,,7.5,,,10.0,,,10.00002,,,7.5,,,6.875,,,7.5,,,7.937502,,,Desistiu em 2021,2019.0,,7.5,8.75001,7.1875
ALUNO-90,3.0,4.0,5.0,Ágata,Ágata,Quartzo,0.0,0.0,0.0,5.0,5.0,5.0,7.666666666666667,4.6,3.555555555555556,5.8,5.0,3.004807692307692,8.33334,7.1,5.833320000000001,7.5,7.5,7.5,7.96875,7.2,6.71875,7.5000025,7.0,6.888886666666665,7.073542833333333,5.994,5.195056982905983,Ativo,2019.0,5.0,4.958558879392212,7.294443333333334,7.212731527777777
ALUNO-91,2.0,2.0,2.0,Ágata,Quartzo,Ametista,0.0,0.0,0.0,10.0,10.0,5.0,4.5,2.2,7.916666666666667,6.4,0.0,7.918575677196368,9.000020000000001,9.5,8.500020000000001,6.875,7.5,7.5,5.625,5.6,6.458333333333334,7.58333,2.5,7.500003333333334,6.846668,4.2,7.412884468772608,Ativo,2018.0,2.0,5.99280470487367,8.14584,5.877777777777777
ALUNO-94,3.0,4.0,,Ágata,Ágata,,0.0,0.0,,10.0,10.0,,4.0,4.6,,6.0,3.6,,7.08333,7.5,,7.5,7.5,,7.96875,7.3,,7.5000025,5.2,,6.7552085,5.923,,Desistiu em 2022,2019.0,,6.366666666666667,7.3958325,6.992188125
ALUNO-95,3.0,4.0,,Ametista,Quartzo,,0.0,0.0,,5.0,5.0,,6.666666666666667,1.3,,8.2,5.6,,9.58335,8.3,,7.5,7.5,,7.96875,6.9,,6.791665,4.1,,7.336876333333333,4.957,,Desistiu em 2022,2019.0,,5.294444444444444,8.2208375,6.4401037500000005
ALUNO-96,7.0,,,Ágata,,,1.0,,,5.0,,,3.0,,,6.1,,,9.16668,,,6.875,,,7.5,,,8.791664999999998,,,6.432500999999999,,,Desistiu em 2021,2019.0,,4.7,8.02084,8.1458325
ALUNO-97,2.0,2.0,3.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,5.0,5.0,10.0,6.0,5.8,7.0,8.0,5.8,8.467105263157894,9.50002,8.0,7.91667,7.5,7.5,7.5,8.4375,7.5,7.5,7.75,6.0,5.58333,7.393752,6.317,7.501754052631579,Ativo,2018.0,3.0,6.785233918128656,7.986115000000001,7.128471666666667
ALUNO-100,1.0,1.0,2.0,Ágata,Quartzo,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,7.5,0.0,1.666666666666666,6.5,0.0,8.475473801560758,9.000020000000001,8.5,9.000020000000001,4.375,3.8,5.0,6.875,6.3,6.25,7.916665,3.8,7.444443333333333,6.908335000000001,3.117,6.042318760312152,Ativo,2018.0,2.0,4.349126718691936,6.612506666666667,6.431018055555556
ALUNO-102,1.0,1.0,1.0,Ametista,Ágata,Ametista,0.0,0.0,0.0,10.0,5.0,5.0,7.0,4.8,7.666666666666666,8.5,7.5,8.941798941798943,8.000020000000001,6.3,7.333340000000001,7.5,7.5,7.5,7.5,7.9,6.041666666666667,7.833333333333333,7.8,7.833333333333333,7.966668666666667,6.704,7.475860455026456,Ativo,2020.0,1.0,7.156496178718401,7.3555600000000005,7.484722222222223
ALUNO-103,0.0,1.0,1.0,Topázio,Ametista,Ametista,0.0,0.0,0.0,10.0,10.0,5.0,8.5,6.2,6.0,10.0,8.8,8.903448275862068,9.000020000000001,9.5,9.50002,7.5,6.3,5.625,7.8125,7.9,5.625,7.333335,8.6,7.749995,8.597919000000001,8.076,7.105690655172413,Ativo,2020.0,1.0,8.155938697318009,7.904173333333333,7.503471666666666
ALUNO-105,3.0,4.0,,Topázio,Quartzo,,0.0,0.0,,10.0,10.0,,8.0,2.8,,9.6,1.1,,9.16668,10.0,,7.5,7.5,,7.96875,6.7,,7.66667,3.7,,8.516877,4.956,,Desistiu em 2022,2020.0,,6.916666666666667,8.54167,6.508855
ALUNO-106,0.0,1.0,,Ametista,Ametista,,0.0,1.0,,5.0,5.0,,10.0,7.9,,10.0,7.9,,9.50002,10.0,,7.5,7.5,,7.5,8.3,,7.5,10.0,,8.450002,8.242,,Desistiu em 2022,2020.0,,7.633333333333333,8.625005,8.325
ALUNO-111,3.0,4.0,,Ágata,Ametista,,0.0,0.0,,5.0,5.0,,4.5,6.0,,7.7,8.1,,7.91667,8.3,,7.5,7.5,,7.96875,8.4,,7.8750025,7.4,,6.8535425,7.222,,Desistiu em 2022,2020.0,,6.05,7.8041675,7.9109381249999995
ALUNO-112,3.0,4.0,,Ágata,Ágata,,0.0,0.0,,5.0,5.0,,5.333333333333333,6.2,,6.8,3.1,,7.91667,9.2,,4.375,6.9,,7.708333333333334,7.7,,7.611103333333333,6.9,,6.448887666666667,6.098,,Desistiu em 2022,2018.0,,5.238888888888889,7.097917499999999,7.479859166666667
ALUNO-113,1.0,2.0,3.0,Ametista,Ágata,Ágata,0.0,0.0,0.0,5.0,5.0,10.0,7.5,4.6,5.166666666666666,8.8,7.1,6.253787878787879,8.500020000000001,9.5,9.16668,7.5,7.5,5.625,7.5,8.1,5.625,7.916665,6.6,5.4166575,7.693335000000001,6.664,6.40909040909091,Ativo,2019.0,3.0,6.6022727272727275,7.965283333333333,6.859720416666666
ALUNO-115,4.0,,,Quartzo,,,0.0,,,5.0,,,5.166666666666667,,,1.9,,,9.16668,,,6.875,,,7.916666666666667,,,5.111106666666666,,,5.331389333333334,,,Desistiu em 2021,2019.0,,4.022222222222223,8.02084,6.513886666666666
ALUNO-117,1.0,2.0,,Ametista,Ametista,,0.0,0.0,,5.0,10.0,,9.5,7.1,,8.9,7.1,,8.000020000000001,8.5,,7.5,7.5,,7.1875,8.3,,7.916665,7.6,,8.032085,7.774,,Desistiu em 2022,2020.0,,7.933333333333333,7.875005,7.75104125
ALUNO-118,1.0,1.0,1.0,Ametista,Topázio,Topázio,0.0,0.0,1.0,10.0,10.0,5.0,10.0,6.9,9.416666666666668,7.7,9.6,8.38888888888889,8.500020000000001,8.5,10.00002,7.5,7.5,7.5,7.1875,7.5,6.5625,7.416665,8.2,9.33334,8.342085,8.299,8.334031111111113,Ativo,2019.0,1.0,8.556172839506173,8.250006666666666,7.700000833333333
ALUNO-120,0.0,1.0,,Ametista,Ametista,,0.0,0.0,,5.0,5.0,,9.5,6.1,,10.0,8.3,,9.000020000000001,8.5,,8.125,7.5,,2.5,7.5,,7.666665,6.8,,7.895835000000001,7.096,,Desistiu em 2022,2019.0,,7.316666666666666,8.281255,6.116666250000001
ALUNO-125,1.0,2.0,,Ágata,Ágata,,0.0,0.0,,5.0,10.0,,5.0,4.6,,9.0,4.6,,9.000020000000001,6.3,,7.5,7.5,,7.708333333333334,7.9,,7.333333333333333,7.2,,7.187502,6.461,,Desistiu em 2022,2020.0,,6.366666666666667,7.575005,7.535416666666667
ALUNO-128,0.0,0.0,0.0,Quartzo,Quartzo,Ágata,0.0,0.0,0.0,5.0,5.0,5.0,5.5,4.0,6.083333333333333,10.0,6.7,9.45887445887446,7.416679999999999,7.9,9.000020000000001,5.625,4.4,5.625,2.5,2.5,5.0,3.500005,5.6,7.166665,5.854169000000001,5.229,7.00427655844156,Ativo,2019.0,0.0,6.304689754689755,6.661116666666666,4.377778333333333
ALUNO-132,4.0,,,Ametista,,,0.0,,,10.0,,,6.0,,,6.5,,,8.75001,,,7.5,,,8.28125,,,6.95833,,,7.344792,,,Desistiu em 2021,2017.0,,7.5,8.125005,7.61979
ALUNO-133,0.0,1.0,1.0,Ametista,Ametista,Ametista,0.0,0.0,0.0,5.0,5.0,5.0,10.0,7.1,7.166666666666666,9.8,9.6,9.116541353383456,10.00002,9.5,8.000020000000001,7.5,7.5,6.875,7.1875,7.7,5.3125,7.5,8.4,7.583335,8.428752,7.99,7.292060604010025,Ativo,2019.0,1.0,7.531467557783348,8.229173333333334,7.280555833333334
ALUNO-135,1.0,1.0,1.0,Ametista,Ágata,Quartzo,0.0,0.0,0.0,10.0,5.0,5.0,6.5,3.6,2.416666666666667,8.4,4.2,4.75108225108225,9.000020000000001,9.5,9.000020000000001,7.5,6.3,5.0,7.1875,6.9,5.625,7.25,7.3,6.833326666666666,7.798752,5.788,5.262717116883117,Ativo,2019.0,1.0,5.540860990860991,7.716673333333333,6.849304444444445
ALUNO-136,5.0,,,Quartzo,,,0.0,,,5.0,,,2.0,,,4.0,,,7.5,,,4.375,,,6.666666666666667,,,5.444446666666667,,,4.643056,,,Desistiu em 2021,2018.0,,3.6666666666666665,5.9375,6.055556666666667
ALUNO-139,5.0,,,Ágata,,,0.0,,,5.0,,,4.333333333333333,,,5.8,,,9.16668,,,7.5,,,8.125,,,5.499996666666667,,,6.105834000000001,,,Desistiu em 2021,2020.0,,5.044444444444444,8.33334,6.812498333333334
ALUNO-145,7.0,,,Ametista,,,1.0,,,10.0,,,7.333333333333333,,,9.1,,,7.91667,,,7.5,,,7.5,,,8.8333375,,,8.345001166666666,,,Desistiu em 2021,2019.0,,8.81111111111111,7.708335,8.16666875
ALUNO-146,1.0,,,Ágata,,,0.0,,,10.0,,,0.0,,,7.2,,,10.00002,,,7.5,,,7.291666666666667,,,7.333333333333333,,,6.385835333333334,,,Desistiu em 2021,2018.0,,5.733333333333333,8.75001,7.3125
ALUNO-147,2.0,,,Quartzo,,,0.0,,,5.0,,,0.0,,,8.0,,,9.000020000000001,,,7.5,,,7.291666666666667,,,7.277776666666666,,,5.934724000000001,,,Desistiu em 2021,2019.0,,4.333333333333333,8.25001,7.284721666666666
ALUNO-149,6.0,7.0,,Ágata,Topázio,,0.0,1.0,,10.0,10.0,,3.0,7.4,,8.7,8.1,,7.5,8.8,,5.625,6.9,,8.125,8.3,,8.333335,9.4,,7.131667,8.36,,Desistiu em 2022,2019.0,,7.866666666666667,7.206250000000001,8.53958375
ALUNO-151,1.0,2.0,3.0,Ametista,Topázio,Topázio,0.0,1.0,0.0,5.0,5.0,10.0,7.5,9.1,7.900000000000001,9.5,9.6,8.436240842490841,9.50002,9.5,8.33334,7.5,8.1,6.875,9.166666666666666,10.0,8.125,8.611113333333334,10.0,8.125,8.238891333333333,9.004,8.225582168498168,Ativo,2019.0,3.0,8.00402676027676,8.301393333333333,9.00463
ALUNO-152,3.0,3.0,4.0,Ametista,Topázio,Ametista,0.0,1.0,0.0,10.0,10.0,10.0,6.333333333333333,8.0,7.644444444444443,9.0,8.3,7.806870995242416,6.24999,8.8,8.75001,7.5,7.5,5.0,7.96875,8.3,7.03125,8.6250075,9.8,7.2499975,7.963542166666667,8.672,7.618388587937373,Ativo,2019.0,4.0,8.564960974780021,7.3,8.162500833333334
